symbol,date,open,high,low,close,volume,open_interest
ESU08,12/04/2007,1599.75,1599.75,1599.75,1599.75,1413767,2164121
ESU08,12/03/2007,1611.5,1611.5,1611.5,1611.5,1479702,2193889
ESU08,11/30/2007,1620.75,1620.75,1620.75,1620.75,2032677,2235933
ESU08,11/29/2007,1608.0,1608.0,1608.0,1608.0,1841485,2186612
ESU08,11/28/2007,1608.0,1608.0,1565.0,1608.0,2431980,2195374
ESU08,11/27/2007,1562.5,1562.5,1562.5,1562.5,2578117,2150645
ESU08,11/26/2007,1544.25,1544.25,1544.25,1544.25,2338876,2138658
ESU08,11/23/2007,1578.5,1578.5,1578.5,1578.5,695843,2123272
ESU08,11/21/2007,1553.0,1553.0,1553.0,1553.0,2000840,2163830
ESU08,11/20/2007,1583.25,1583.25,1583.25,1583.25,2983394,2149484
ESU08,11/19/2007,1573.75,1573.75,1573.75,1573.75,2109419,2079379
ESU08,11/16/2007,1597.5,1597.5,1597.5,1597.5,2140683,2032843
ESU08,11/15/2007,1595.25,1595.25,1595.25,1595.25,2266960,2045024
ESU08,11/14/2007,1616.25,1616.25,1616.25,1616.25,1896429,2047669
ESU08,11/13/2007,1621.25,1621.25,1621.25,1621.25,2070377,2055493
ESU08,11/12/2007,1577.25,1577.25,1577.25,1577.25,1947270,2081276
ESU08,11/09/2007,1592.5,1592.5,1592.5,1592.5,2537594,2074444
ESU08,11/08/2007,1613.5,1613.5,1613.5,1613.5,3103852,2047055
ESU08,11/07/2007,1620.75,1620.75,1620.75,1620.75,2629264,2067515
ESU08,11/06/2007,1664.25,1664.25,1664.25,1664.25,1725127,2036729
ESU08,11/05/2007,1643.75,1643.75,1643.75,1643.75,2092651,2030751
ESU08,11/02/2007,1656.5,1656.5,1656.5,1656.5,2781535,2027368
ESU08,11/01/2007,1654.75,1654.75,1654.75,1654.75,2524955,2037069
ESU08,10/31/2007,1695.25,1695.25,1695.25,1695.25,1962134,2066115
ESU08,10/30/2007,1675.25,1675.25,1675.25,1675.25,1025858,2026704
ESU08,10/29/2007,1686.5,1686.5,1686.5,1686.5,1019754,2022649
ESU08,10/26/2007,1681.25,1681.25,1681.25,1681.25,1552353,2040260
ESU08,10/25/2007,1663.75,1663.75,1663.75,1663.75,1955662,2032087
ESU08,10/24/2007,1661.25,1661.25,1661.25,1661.25,2693969,2013997
ESU08,10/23/2007,1665.0,1665.0,1665.0,1665.0,1747320,1977889
ESU08,10/22/2007,1653.5,1653.5,1653.5,1653.5,2402154,1992653
ESU08,10/19/2007,1645.25,1645.25,1645.25,1645.25,2691104,2009884
ESU08,10/18/2007,1688.75,1688.75,1688.75,1688.75,1557939,2012176
ESU08,10/17/2007,1695.0,1695.0,1695.0,1695.0,2241811,2014874
ESU08,10/16/2007,1690.5,1690.5,1690.5,1690.5,1845905,2000282
ESU08,10/15/2007,1703.5,1703.5,1703.5,1703.5,1956393,2019805
ESU08,10/12/2007,1718.25,1718.25,1718.25,1718.25,1413225,1987037
ESU08,10/11/2007,1709.0,1709.0,1709.0,1709.0,2281335,1971943
ESU08,10/10/2007,1717.25,1717.25,1717.25,1717.25,1309726,1951890
ESU08,10/09/2007,1720.0,1720.0,1720.0,1720.0,1285323,1951052
ESU08,10/08/2007,1706.0,1706.0,1706.0,1706.0,718560,1908674
ESU08,10/05/2007,1714.0,1714.0,1714.0,1714.0,1701140,1917966
ESU08,10/04/2007,1694.0,1694.0,1694.0,1694.0,926203,1876648
ESU08,10/03/2007,1692.5,1692.5,1692.5,1692.5,1386273,1867074
ESU08,10/02/2007,1695.75,1695.75,1695.75,1695.75,1275266,1866091
ESU08,10/01/2007,1698.0,1698.0,1698.0,1698.0,1702041,1838869
ESU08,09/28/2007,1678.75,1678.75,1678.75,1678.75,1456796,1781512
ESU08,09/27/2007,1685.25,1685.25,1685.25,1685.25,1312255,1776944
ESU08,09/26/2007,1677.0,1677.0,1677.0,1677.0,1690284,1817252
ESU08,09/25/2007,1669.75,1669.75,1669.75,1669.75,1582876,1747573
ESU08,09/24/2007,1672.5,1672.5,1672.5,1672.5,1497021,1731709
ESU08,09/21/2007,1675.25,1675.25,1675.25,1675.25,1346844,1685734
ESU08,09/20/2007,1672.5,1672.5,1672.5,1672.5,2201594,1662786
